dex_number,name,form,evolves_from_id,evolves_from_form,type1,type2,stage,ability1,ability2,hidden_ability,hp,attack,defense,sp_attack,sp_defense,speed,evolution_method,mega,obtain_method,description
461,Weavile,,215,,Dark,Ice,evo,Pressure,,Pickpocket,70,120,65,45,85,125,"Dusk Stone",,,
495,Snivy,,,,Grass,,base,Overgrow,,Contrary,45,45,55,45,55,63,,,,
496,Servine,,495,,Grass,,evo,Overgrow,,Contrary,60,60,75,60,75,83,"Level 17",,,
497,Serperior,,496,,Grass,,evo,Overgrow,,Contrary,75,75,95,75,95,113,"Level 36",,,
361,Snorunt,,,,Ice,,base,Inner Focus,Ice Body,Moody,50,50,50,50,50,50,,"Stage 1",,
362,Glalie,,361,,Ice,,evo,Inner Focus,Ice Body,Moody,80,80,80,80,80,80,"Level 42 (Oracle)","Stage 1",,
362,Mega Glalie,Mega,362,,Ice,,mega,Refrigerate,,,80,120,80,120,80,100,Glalitite,"Stage 1",,
478,Froslass,,361,,Ice,Ghost,evo,Snow Cloak,,Cursed Body,70,80,70,80,70,110,"Dawn Stone","Stage 1",,
478,Mega Froslass,Mega,478,,Ice,Ghost,evo,Snow Warning,,,70,80,70,140,100,120,Frosslassite,"Stage 1",,
459,Snover,,,,Grass,Ice,base,Snow Warning,,Soundproof,60,62,50,62,60,40,,"Stage 1",,
460,Abomasnow,,459,,Grass,Ice,evo,Snow Warning,,Soundproof,90,92,75,92,85,60,"Level 40 (Oracle)","Stage 1",,
460,Mega Abomasnow,Mega,460,,Grass,Ice,mega,Snow Warning,,,90,132,105,132,105,30,Abomasite,"Stage 1",,
209,Snubbull,,,,Fairy,,base,Intimidate,Run Away,Rattled,60,80,50,40,40,30,,,,
210,Granbull,,209,,Fairy,,evo,Intimidate,Quick Feet,Rattled,90,120,75,60,60,45,"Level 23",,,
577,Solosis,,,,Psychic,,base,Overcoat,Magic Guard,Regenerator,45,30,40,105,50,20,,,,
578,Duosion,,577,,Psychic,,evo,Overcoat,Magic Guard,Regenerator,65,40,50,125,60,30,"Level 32 (Guru)",,,
579,Reuniclus,,578,,Psychic,,evo,Overcoat,Magic Guard,Regenerator,110,65,75,125,85,30,"Level 41",,,
363,Spheal,,,,Ice,Water,base,Thick Fat,Ice Body,Oblivious,70,40,50,55,50,25,,,,
364,Sealeo,,363,,Ice,Water,evo,Thick Fat,Ice Body,Oblivious,90,60,70,75,70,45,"Level 32 (Guru)",,,
365,Walrein,,364,,Ice,Water,evo,Thick Fat,Ice Body,Oblivious,110,80,90,95,90,65,"Level 44",,,
325,Spoink,,,,Psychic,,base,Thick Fat,Own Tempo,Gluttony,60,25,35,70,80,60,,,,
326,Grumpig,,325,,Psychic,,evo,Thick Fat,Own Tempo,Gluttony,80,45,65,90,110,80,"Level 32",,,
682,Spritzee,,,,Fairy,,base,Healer,,Aroma Veil,78,52,60,63,65,23,,,,
683,Aromatisse,,682,,Fairy,,evo,Healer,,Aroma Veil,101,72,72,99,89,29,"Level 28",,,
234,Stantler,,,,Normal,,base,Intimidate,Frisk,Sap Sipper,73,95,62,85,65,85,,,,
899,Wyrdeer,,234,,Normal,Psychic,evo,Intimidate,Frisk,Sap Sipper,103,105,72,105,75,65,"Level 28",,,
396,Starly,,,,Normal,Flying,base,Keen Eye,,Reckless,40,55,30,30,30,60,,"Stage 2",,
397,Staravia,,396,,Normal,Flying,evo,Intimidate,,Reckless,55,75,50,40,40,80,"Level 14","Stage 2",,
398,Staraptor,,397,,Normal,Flying,evo,Intimidate,,Reckless,85,120,70,50,60,100,"Level 34","Stage 2",,
398,Mega Staraptor,Mega,398,,Fighting,Flying,mega,Intimidate,,Reckless,85,140,100,60,90,110,Staraptite,"Stage 2",,
7,Squirtle,,,,Water,,base,Torrent,,Rain Dish,44,48,65,50,64,43,,"Stage 2",,
8,Wartortle,,7,,Water,,evo,Torrent,,Rain Dish,59,63,80,65,80,58,"Level 16","Stage 2",,
9,Blastoise,,8,,Water,,evo,Torrent,,Rain Dish,79,83,100,85,105,78,"Level 36","Stage 2",,
9,Mega Blastoise,Mega,9,,Water,,mega,Mega Launcher,,,79,103,120,135,115,78,Blastoisinite,"Stage 2",,
120,Staryu,,,,Water,,base,Illuminate,Natural Cure,Analytic,30,45,55,70,55,85,,"Stage 1",,
121,Starmie,,120,,Water,Psychic,evo,Illuminate,Natural Cure,Analytic,60,75,85,100,85,115,"Water Stone","Stage 1",,
121,Mega Starmie,Mega,121,,Water,Psychic,mega,Illuminate,Natural Cure,Analytic,60,140,105,130,105,120,Starmite,"Stage 1",,
759,Stufful,,,,Normal,Fighting,base,Fluffy,Klutz,Cute Charm,70,75,50,45,50,50,,,,
760,Bewear,,759,,Normal,Fighting,evo,Fluffy,Klutz,Unnerve,120,125,80,55,60,60,"Level 27",,,
283,Surskit,,,,Bug,Water,base,Swift Swim,,Rain Dish,40,30,32,50,52,65,,,,
284,Masquerain,,283,,Bug,Flying,evo,Intimidate,,Unnerve,70,60,62,100,82,80,"Level 22",,,
220,Swinub,,,,Ice,Ground,base,Oblivious,Snow Cloak,Thick Fat,50,50,40,30,30,50,,,,
221,Piloswine,,220,,Ice,Ground,evo,Oblivious,Snow Cloak,Thick Fat,100,100,80,60,60,50,"Level 33 (Guru)",,,
473,Mamoswine,,221,,Ice,Ground,evo,Oblivious,Snow Cloak,Thick Fat,110,130,80,70,60,80,"Move Relearn Ancient Power",,,
684,Swirlix,,,,Fairy,,base,Sweet Veil,,Unburden,62,48,66,59,57,49,,,,
685,Slurpuff,,684,,Fairy,,evo,Sweet Veil,,Unburden,82,80,86,85,75,72,"Level 28",,,
216,Teddiursa,,,,Normal,,base,Pickup,Quick Feet,Honey Gather,60,80,50,50,50,40,,,,
217,Ursaring,,216,,Normal,,evo,Guts,Quick Feet,Unnerve,90,130,75,75,75,55,"Level 30",,,
901,Ursaluna,,217,,Ground,Normal,evo,Guts,Bulletproof,Unnerve,130,140,105,45,80,50,"Level 48",,,
72,Tentacool,,,,Water,Poison,base,Clear Body,Liquid Ooze,Rain Dish,40,40,35,50,100,70,,,,
73,Tentacruel,,72,,Water,Poison,evo,Clear Body,Liquid Ooze,Rain Dish,80,70,65,80,120,100,"Level 30",,,
532,Timburr,,,,Fighting,,base,Guts,Sheer Force,Iron Fist,75,80,55,25,35,35,,,,
533,Gurdurr,,532,,Fighting,,evo,Guts,Sheer Force,Iron Fist,85,105,85,40,50,40,"Level 25",,,
534,Conkeldurr,,533,,Fighting,,evo,Guts,Sheer Force,Iron Fist,105,140,95,55,65,45,"Linking Cord",,,
957,Tinkatink,,,,Fairy,Steel,base,Mold Breaker,Own Tempo,Pickpocket,50,45,45,35,64,58,,,,
958,Tinkatuff,,957,,Fairy,Steel,evo,Mold Breaker,Own Tempo,Pickpocket,65,55,55,45,82,78,"Level 24",,,
959,Tinkaton,,958,,Fairy,Steel,evo,Mold Breaker,Own Tempo,Pickpocket,85,75,77,70,105,94,"Level 38",,,
564,Tirtouga,,,,Water,Rock,base,Solid Rock,Sturdy,Swift Swim,54,78,103,53,45,22,,,,
565,Carracosta,,564,,Water,Rock,evo,Solid Rock,Sturdy,Swift Swim,74,108,133,83,65,32,"Level 37 (Oracle)",,,
255,Torchic,,,,Fire,,base,Blaze,,Speed Boost,45,60,40,70,50,45,,"Stage 2",,
256,Combusken,,255,,Fire,Fighting,evo,Blaze,,Speed Boost,60,85,60,85,60,55,"Level 16","Stage 2",,
257,Blaziken,,256,,Fire,Fighting,evo,Blaze,,Speed Boost,80,120,70,110,70,80,"Level 36","Stage 2",,
257,Mega Blaziken,Mega,257,,Fire,Fighting,mega,Speed Boost,,,80,160,80,130,80,100,Blazikenite,"Stage 2",,
158,Totodile,,,,Water,,base,Torrent,,Sheer Force,50,65,64,44,48,43,,"Stage 2",,
159,Croconaw,,158,,Water,,evo,Torrent,,Sheer Force,65,80,80,59,63,58,"Level 18","Stage 2",,
160,Feraligatr,,159,,Water,,evo,Torrent,,Sheer Force,85,105,100,79,83,78,"Level 30","Stage 2",,
160,Mega Feraligatr,Mega,160,,Water,Dragon,mega,Dragonize,,,85,160,125,89,93,78,Feraligatrite,"Stage 2",,
328,Trapinch,,,,Ground,,base,Hyper Cutter,Arena Trap,Sheer Force,45,100,45,45,45,10,,,,
329,Vibrava,,328,,Ground,Dragon,evo,Levitate,,,50,70,50,50,50,70,"Level 35 (Guru)",,,
330,Flygon,,329,,Ground,Dragon,evo,Levitate,,,80,100,80,80,80,100,"Level 45",,,
252,Treecko,,,,Grass,,base,Overgrow,,Unburden,40,45,35,65,55,70,,"Stage 2",,"Tip: Delayed Evolution\nNeither Grovyle nor Sceptile learn Giga Drain via level up, just Treecko. Because of this, Treecko is a rare case of a Pokemon that can benefit from delaying evolution for a full gym. By delaying evolution to Grovyle from 16 to 21, Treecko can learn Giga Drain a full two gyms earlier than it'd be able to otherwise via TM."
253,Grovyle,,252,,Grass,,evo,Overgrow,,Unburden,50,65,45,85,65,95,"Level 16","Stage 2",,
254,Sceptile,,253,,Grass,,evo,Overgrow,,Unburden,70,85,65,105,85,120,"Level 36","Stage 2",,
254,Mega Sceptile,Mega,254,,Grass,Dragon,mega,Lightning Rod,,,70,110,75,145,85,145,Sceptilite,"Stage 2",,
568,Trubbish,,,,Poison,,base,Stench,Sticky Hold,Aftermath,50,50,62,40,62,65,,,,
569,Garbodor,,568,,Poison,,evo,Stench,Weak Armor,Aftermath,80,95,82,60,82,75,"Level 36",,,
387,Turtwig,,,,Grass,,base,Overgrow,,Shell Armor,55,68,64,45,55,31,,,,
388,Grotle,,387,,Grass,,evo,Overgrow,,Shell Armor,75,89,85,55,65,36,"Level 18",,,
389,Torterra,,388,,Grass,Ground,evo,Overgrow,,Shell Armor,95,109,105,75,85,56,"Level 32",,,
535,Tympole,,,,Water,,base,Swift Swim,Hydration,Water Absorb,50,50,40,50,40,64,,,,
536,Palpitoad,,535,,Water,Ground,evo,Swift Swim,Hydration,Water Absorb,75,65,55,65,55,69,"Level 25",,,
537,Seismitoad,,536,,Water,Ground,evo,Swift Swim,Poison Touch,Water Absorb,105,95,75,85,75,74,"Level 36",,,
602,Tynamo,,,,Electric,,base,Levitate,,,35,55,40,45,40,60,,"Stage 2",,
603,Eelektrik,,602,,Electric,,evo,Levitate,,,65,85,70,75,70,40,"Level 39 (Guru)","Stage 2",,
604,Eelektross,,603,,Electric,,evo,Levitate,,,85,115,80,105,80,50,"Thunder Stone","Stage 2",,
604,Mega Eelektross,Mega,604,,Electric,,evo,Levitate,,,85,145,80,135,90,80,Eelektrossite,"Stage 2",,
236,Tyrogue,,,,Fighting,,base,Guts,Steadfast,Vital Spirit,35,35,35,35,35,35,,,,
106,Hitmonlee,,236,,Fighting,,evo,Limber,Reckless,Unburden,50,120,53,35,110,87,"Level 20",,,
107,Hitmonchan,,236,,Fighting,,evo,Keen Eye,Iron Fist,Inner Focus,50,105,79,35,110,76,"Level 20",,,
237,Hitmontop,,236,,Fighting,,evo,Intimidate,Technician,Steadfast,50,95,95,35,110,70,"Level 20",,,
696,Tyrunt,,,,Rock,Dragon,base,Strong Jaw,,Sturdy,58,89,77,45,45,48,,,,
697,Tyrantrum,,696,,Rock,Dragon,evo,Strong Jaw,,Rock Head,82,121,119,69,59,71,"Level 39 (Oracle)",,,
965,Varoom,,,,Steel,Poison,base,Overcoat,,Slow Start,45,70,63,30,45,47,,,,
966,Revavroom,,965,,Steel,Poison,evo,Overcoat,,Filter,80,119,90,54,67,90,"Level 40 (Oracle)",,,
543,Venipede,,,,Bug,Poison,base,Poison Point,Swarm,Speed Boost,30,45,59,30,39,57,,"Stage 2",,
544,Whirlipede,,543,,Bug,Poison,evo,Poison Point,Swarm,Speed Boost,40,55,99,40,79,47,"Level 22","Stage 2",,
545,Scolipede,,544,,Bug,Poison,evo,Poison Point,Swarm,Speed Boost,60,100,89,55,69,112,"Level 30","Stage 2",,
545,Mega Scolipede,Mega,545,,Bug,Poison,mega,Poison Point,Swarm,Speed Boost,60,140,149,75,99,62,Scolipedite,"Stage 2",,
100,Voltorb,Hisui,,,Electric,Grass,base,Soundproof,Static,Aftermath,40,30,50,55,55,100,,,,
101,Electrode,Hisui,100,Hisui,Electric,Grass,evo,Soundproof,Static,Aftermath,60,50,70,80,80,150,"Leaf Stone",,,
37,Vulpix,Alola,,,Ice,,base,Snow Cloak,,Snow Warning,38,41,40,50,65,65,,,,
38,Ninetales,Alola,37,Alola,Ice,Fairy,evo,Snow Cloak,,Snow Warning,73,67,75,81,100,109,"Ice Stone",,,
320,Wailmer,,,,Water,,base,Water Veil,Oblivious,Pressure,130,70,35,70,35,60,,,,
321,Wailord,,320,,Water,,evo,Water Veil,Oblivious,Pressure,170,90,45,90,45,60,"Level 40 (Oracle)",,,
940,Wattrel,,,,Electric,Flying,base,Wind Power,Volt Absorb,Competitive,40,40,35,55,40,70,,,,
941,Kilowattrel,,940,,Electric,Flying,evo,Wind Power,Volt Absorb,Competitive,70,70,60,105,60,125,"Level 25",,,
13,Weedle,,,,Bug,Poison,base,Shield Dust,,Run Away,40,35,30,20,20,50,,"Stage 2",,
14,Kakuna,,13,,Bug,Poison,evo,Shed Skin,,,45,25,50,25,25,35,"Level 7","Stage 2",,
15,Beedrill,,14,,Bug,Poison,evo,Swarm,,Sniper,65,90,40,45,80,75,"Level 10","Stage 2",,
15,Mega Beedrill,Mega,15,,Bug,Poison,mega,Adaptability,,,65,150,40,15,80,145,Beedrillite,"Stage 2",,
278,Wingull,,,,Water,Flying,base,Keen Eye,Hydration,Rain Dish,40,30,30,55,30,85,,,,
279,Pelipper,,278,,Water,Flying,evo,Keen Eye,Drizzle,Rain Dish,60,50,100,95,70,65,"Level 25",,,
746,Wishiwashi,,,,Water,,base,Schooling,,,45,20,20,25,25,40,,,,
746,Wishiwashi-School,School,746,,Water,,evo,Schooling,,,45,140,130,140,135,30,"Schooling Level 20",,,
194,Wooper,Paldea,,,Poison,Ground,base,Poison Point,Water Absorb,Unaware,55,45,45,25,25,15,,,,
980,Clodsire,Paldea,194,Paldea,Poison,Ground,evo,Poison Point,Water Absorb,Unaware,130,75,60,45,100,20,"Level 20",,,
835,Yamper,,,,Electric,,base,Ball Fetch,,Rattled,59,45,50,40,50,26,,,,
836,Boltund,,835,,Electric,,evo,Strong Jaw,,Competitive,69,90,60,90,60,121,"Level 25",,,
193,Yanma,,,,Bug,Flying,base,Speed Boost,Compound Eyes,Frisk,65,65,45,75,45,95,,,,
469,Yanmega,,193,,Bug,Flying,evo,Speed Boost,Tinted Lens,Frisk,86,76,86,116,56,95,"Learn Ancient Power",,,
263,Zigzagoon,,,,Dark,Normal,base,Pickup,Gluttony,Quick Feet,38,30,41,30,41,60,,,,
264,Linoone,Galar,263,,Dark,Normal,evo,Pickup,Gluttony,Quick Feet,78,70,61,50,61,100,"Level 20",,,
862,Obstagoon,,264,Galar,Dark,Normal,evo,Reckless,Guts,Defiant,93,90,101,60,81,95,"Level 35",,,
570,Zorua,,,,Dark,,base,Illusion,,,40,65,40,80,40,65,,,,"Tip: Illusion\nZorua and Zoroark's signature ability causes them to take on the appearance of the last Pokemon in your party. The AI treats the Illusioned Pokemon as the Pokemon it's disguised as, but if it uses a Psychic-type move and fails to deal damage, it will realize it's up against an Illusion Pokemon and attack accordingly on subsequent turns. Similarly, if your Zoroark uses a move that the Pokemon its disguised as cannot learn, the AI will know that it's a Zoroark."
571,Zoroark,,570,,Dark,,evo,Illusion,,,60,105,60,120,60,105,"Level 30",,,
41,Zubat,,,,Poison,Flying,base,Inner Focus,,Infiltrator,40,45,35,30,40,55,,,,
42,Golbat,,41,,Poison,Flying,evo,Inner Focus,,Infiltrator,75,80,70,65,75,90,"Level 22",,,
169,Crobat,,42,,Poison,Flying,evo,Inner Focus,,Infiltrator,85,90,80,70,80,130,"Level 30",,,
65536,Egg,,,,Egg,,base,,,,0,0,0,0,0,0,,,,"Tip: Baby Pokemon\nAn egg can hatch into any of these baby Pokemon: Azurill, Cleffa, Igglybuff, and Togepi."
169,Crobat,,42,,Poison,Flying,evo,Inner Focus,,Infiltrator,85,90,80,70,80,130,"Soothe Bell",,,
65536,Egg,,,,Egg,,base,,,,0,0,0,0,0,0,,,,"Tip: Baby Pokemon\nAn egg can hatch into any of these baby Pokemon: Azurill, Cleffa, Igglybuff, and Togepi."
298,Azurill,,,,Normal,Fairy,base,Thick Fat,Huge Power,Sap Sipper,50,20,40,20,40,20,,,Baby,
183,Marill,,298,,Water,Fairy,evo,Thick Fat,Huge Power,Sap Sipper,70,20,50,20,50,40,"Level 10",,Baby,
184,Azumarill,,183,,Water,Fairy,evo,Thick Fat,Huge Power,Sap Sipper,100,50,80,60,80,50,"Level 18",,Baby,
173,Cleffa,,,,Fairy,,base,Cute Charm,Magic Guard,Friend Guard,50,25,28,45,55,15,,"Stage 2",Baby,
35,Clefairy,,173,,Fairy,,evo,Cute Charm,Magic Guard,Friend Guard,70,45,48,60,65,35,"Level 10","Stage 2",Baby,
36,Clefable,,35,,Fairy,,evo,Cute Charm,Magic Guard,Unaware,95,70,73,95,90,60,"Moon Stone","Stage 2",Baby,
36,Mega Clefable,Mega,36,,Fairy,Flying,mega,Cute Charm,Magic Guard,Unaware,95,80,93,135,110,70,Clefablite,"Stage 2",Baby,
174,Igglybuff,,,,Normal,Fairy,base,Cute Charm,Competitive,Friend Guard,90,30,15,40,20,15,,,Baby,
39,Jigglypuff,,174,,Normal,Fairy,evo,Cute Charm,Competitive,Friend Guard,115,45,20,45,25,20,"Level 10",,Baby,
40,Wigglytuff,,39,,Normal,Fairy,evo,Cute Charm,Competitive,Frisk,140,70,45,85,50,45,"Moon Stone",,Baby,
175,Togepi,,,,Fairy,,base,Hustle,Serene Grace,Super Luck,35,20,65,40,65,20,,,Baby,
176,Togetic,,175,,Fairy,Flying,evo,Hustle,Serene Grace,Super Luck,55,40,85,80,105,40,"Level 20",,Baby,
468,Togekiss,,176,,Fairy,Flying,evo,Hustle,Serene Grace,Super Luck,85,50,95,120,115,80,"Shiny Stone",,Baby,
133,Eevee,,,,Normal,,base,Run Away,Adaptability,Anticipation,55,55,50,45,65,55,,,Baby,"Tip: The most important Pokemon of all!\nEevee is Emerald Blitz's starter Pokemon, available to all players from the beginning of the game.\nThere's just one catch: once a player evolves their Eevee, no other player can evolve their Eevee into that same species. This means that beating the fourth gym and gaining access to evolution stones is especially imperative!\nEevee's ability to evolve into eight different types of Pokemon makes it invaluable for filling out your team with coverage for your draft's weaker matchups. That said, don't underestimate Eevee into the first few gyms! Its ability to lower the opponent's stats help get many early game teams over the hill."
134,Vaporeon,,133,,Water,,evo,Water Absorb,,Hydration,130,65,60,110,95,65,"Water Stone",,Baby,
135,Jolteon,,133,,Electric,,evo,Volt Absorb,,Quick Feet,65,65,60,110,95,130,"Thunder Stone",,Baby,
136,Flareon,,133,,Fire,,evo,Flash Fire,,Guts,65,130,60,95,110,65,"Fire Stone",,Baby,
196,Espeon,,133,,Psychic,,evo,Synchronize,,Magic Bounce,65,65,60,130,95,110,"Sun Stone",,Baby,
197,Umbreon,,133,,Dark,,evo,Synchronize,,Inner Focus,95,65,110,60,130,65,"Moon Stone",,Baby,
470,Leafeon,,133,,Grass,,evo,Leaf Guard,,Chlorophyll,65,110,130,60,65,95,"Leaf Stone",,Baby,
471,Glaceon,,133,,Ice,,evo,Snow Cloak,,Ice Body,65,60,110,130,95,65,"Ice Stone",,Baby,
700,Sylveon,,133,,Fairy,,evo,Cute Charm,,Pixilate,95,65,65,110,130,60,"Shiny Stone",,Baby,
359,Absol,,,,Dark,,base,Pressure,Super Luck,Justified,65,130,60,75,60,75,,,Rental,
359,Mega Absol,Mega,359,,Dark,,mega,Magic Bounce,,,65,150,60,115,60,115,Absolite,"Stage 1",Rental,
780,Drampa,,,,Normal,Dragon,base,Berserk,Sap Sipper,Cloud Nine,78,60,85,135,91,36,,,Rental,
780,Mega Drampa,Mega,780,,Normal,Dragon,mega,Berserk,Sap Sipper,Cloud Nine,78,60,85,135,91,36,Drampanite,"Stage 1",Rental,
870,Falinks,,,,Fighting,,base,Battle Armor,,Defiant,65,100,100,70,60,75,,,Rental,
870,Mega Falinks,Mega,870,,Fighting,,mega,Battle Armor,,Defiant,65,100,100,70,60,75,Falinksite,"Stage 1",Rental,
701,Hawlucha,,,,Fighting,Flying,base,Limber,Unburden,Mold Breaker,78,92,75,74,63,118,,,Rental,
701,Mega Hawlucha,Mega,701,,Fighting,Flying,mega,Limber,Unburden,Mold Breaker,78,92,75,74,63,118,Hawluchanite,"Stage 1",Rental,
214,Heracross,,,,Bug,Fighting,base,Swarm,Guts,Moxie,80,125,75,40,95,85,,,Rental,
214,Mega Heracross,Mega,214,,Bug,Fighting,mega,Skill Link,,,80,185,115,40,105,75,Heracronite,"Stage 1",Rental,
115,Kangaskhan,,,,Normal,,base,Early Bird,Scrappy,Inner Focus,105,95,80,40,80,90,,,Rental,
115,Mega Kangaskhan,Mega,115,,Normal,,mega,Parental Bond,,,105,125,100,60,100,100,Kangaskhanite,"Stage 1",Rental,
127,Pinsir,,,,Bug,,base,Hyper Cutter,Mold Breaker,Moxie,65,125,100,55,70,85,,,Rental,
127,Mega Pinsir,Mega,127,,Bug,Flying,mega,Aerilate,,,65,155,120,65,90,105,Pinsirite,"Stage 1",Rental,
227,Skarmory,,,,Steel,Flying,base,Keen Eye,Sturdy,Weak Armor,65,80,140,40,70,70,,,Rental,
227,Mega Skarmory,Mega,227,,Steel,Flying,mega,Keen Eye,Sturdy,Weak Armor,65,80,140,40,70,70,Skarmorite,"Stage 1",Rental,
962,Bombirdier,,,,Flying,Dark,base,Stork's Blessing,,Rocky Payload,70,103,85,60,85,82,,,Rental,
626,Bouffalant,,,,Normal,,base,Reckless,Sap Sipper,Soundproof,95,110,95,40,95,55,,,Rental,
455,Carnivine,,,,Grass,,base,Levitate,,,74,100,72,90,72,46,,,Rental,
764,Comfey,,,,Fairy,,base,Flower Veil,Triage,Natural Cure,51,52,90,82,110,100,,,Rental,
615,Cryogonal,,,,Ice,,base,Levitate,,,80,50,50,95,135,105,,,Rental,
781,Dhelmise,,,,Ghost,Grass,base,Steelworker,,,70,131,100,86,90,40,,,Rental,
632,Durant,,,,Bug,Steel,base,Swarm,Hustle,Truant,58,109,112,48,48,109,,,Rental,
631,Heatmor,,,,Fire,,base,Gluttony,Flash Fire,White Smoke,85,97,66,105,66,65,,,Rental,
131,Lapras,,,,Water,Ice,base,Water Absorb,Shell Armor,Hydration,130,85,80,85,95,60,,,Rental,
241,Miltank,,,,Normal,,base,Thick Fat,Scrappy,Sap Sipper,95,80,105,40,70,100,,,Rental,
778,Mimikyu,,,,Ghost,Fairy,base,Disguise,,,55,90,80,50,105,96,,,Rental,
369,Relicanth,,,,Water,Rock,base,Swift Swim,Rock Head,Sturdy,100,90,130,45,65,55,,,Rental,
336,Seviper,,,,Poison,,base,Shed Skin,,Infiltrator,73,100,60,100,60,65,,,Rental,
874,Stonjourner,,,,Rock,,base,Power Spot,,,100,125,135,20,20,70,,,Rental,
777,Togedemaru,,,,Electric,Steel,base,Iron Barbs,Lightning Rod,Sturdy,65,98,63,40,73,96,,,Rental,
324,Torkoal,,,,Fire,,base,White Smoke,Drought,Shell Armor,70,85,140,85,70,20,,,Rental,
357,Tropius,,,,Grass,Flying,base,Chlorophyll,Solar Power,Harvest,99,68,83,72,87,51,,,Rental,
776,Turtonator,,,,Fire,Dragon,base,Shell Armor,,,60,78,135,91,85,36,,,Rental,
335,Zangoose,,,,Normal,,base,Immunity,,Toxic Boost,73,115,60,60,60,90,,,Rental,
